1;MPLS is often used on IP backbone networks. Forwarding equivalence class (FEC) is a term used in MPLS to describe a collection of packets with the same characteristics.;true
2;Tracert is a typical application of ICMP;true
3;The next-hop ip address must be specified during static route configeration;false
4;In AAA, multiple authentication modes can be configured. For example, assuming that the authentication-mode radius local command is configured, if the device fails to connect to the RADIUS authentication server, it starts local authentication using the locally stored user information.;true
5;If no OSPFv3 router ID is configured, the system selects a router ID using rules similar to those used in OSPFv2;false
6;SNMP is a standards-based network management protocol widely used on TCP/IP networks. It provides a method for managing network elements through a central computer that runs network management software -- known as a network management station (NMS). An SNMP NMS and SNMP agent communicate with each other through UDP.;true
7;DHCPv6 devices are identified by DUIDs, and each DHCPv6 server or client can have only one DUID;true
8;If a router fails to find a specific route matching the destination address of a data packet and no default route is available, the router discards the packet.;true
9;An ACL is a set of rules, based on which a device can classify packets so that different types of packets can be processed differently.;true
10;A greater preference value of a routing protocol indicates a higher preference;false
11;In the case of Huawei router, the Tracert command uses UDP to encapsulate probe packets;true
12;The broadcast address of the subnet 192.168.1.0/25 is 192.168.1.128;false
13;If a network's address is 192.168.1.0, the broadcast address of this network is 192.168.1.255;true
14;In STP, the priority of the STP root switch ranges from 0 to 65536;true
15;On Huawei devices, you can use the undo summary to prohibit automatic route summarization of RIPv2;true
16;On Huawei switches, you can rut the vlan batch command to create multiple VLANs in batches;true
17;According to the topology and configuration of interconnected interfaces of switches shown in the figure, the data frame tagged with VLAN 10 can be forwarded correctly between the two switches.;true
18;InARP resolves the protocol address of the remote device on each vertual circuit, including IP addresses and IPX addresses;true
19;On an FR network, the DLCI identifies a virtual circuit on an interface. The DLCI must be unique during planning and deployment;false
20;If AAA authentication is used on Huawei devices and the remote server does not respond, the authentication can be performed on network devices;true
21;An ACL does not filter traffic generared by Huawei device towards other devices, but only filters forward traffic, including generared by other devices;true
22;SNMP packets are encapsulated in TCP packets;false
23;In OSPFv3, router Ids can be used automaticall generated by the system;false
24;VLSM can expand any IP network segment, including Class D addresses;false
25;On the command line interface of Huawei AR routers, the role of the Save command is to Save the current system time;false
26;In RSTP, a backup port can replace a faulty root port;false
27;The following configuration commands implement route backup on RtA for a route to the same destination 10.1.1.0;false
28;A DHCP Offer packet can carry only one DNS server address;false
29;On Huawei switches, VLAN 4095 cannot be created and VLAN 1 cannot be deleted;true
30;After the keepalive function is enabled for GRE tunnel, the local end of the GRE tunnel sends a keepalive packet to remote end every 10s;false
31;Layer 2 switches are data link devices that identify MAC addresses of Layer 2 data frames and forward Layer 2 data frames on MAC addresses. In addition, they record mappings between MAC addresses and interfaces in the MAC address table.;true
32;In RSTP mode, both alternate and backup ports cannot forward user traffic but can receive, process, and send BPDU;true
33;On an FR network, when the fr inarp command is executer, the interface where static address mapping entries have been configured sends an Inverse ARP Request packet to the remote device to replace the static address mapping entries;false
34;You can run the startup saved-configuration backup.cfg command on the user interface of the Versatile Routing Platform (VRP) to specify the backup.cfg file as the configuration file for next setup.;true
36;You can configure a static route on a broadcast interface by specifying the next-hop IP address or outbound interface;true
37;The IKE protocol is used to set up an SA for IPsec automatic negotiation. Identity authentication can be performed when the IP address of the initiator changes dynamically.;true
38;Segment routing-traffic engineering (SR-Ð¢Ð•) is a new Ð¢Ð• tunneling technology that uses SR as a control protocol. All nodes of an SR-TE tunnel, including the ingress and transit nodes, must be aware of the tunnel and complete label distribution and forwarding.;true
39;In the MPLS domain, the full name of LER is label egress router.;false
40;ICMP packets do not contain port numbers. Thereforem NAPT cannot be used.;false
41;After a device is reset, an interface card is hot swapped, or an interface card is reset, the saved MAC address entries on the device or interface card are not lost.;false
42;Segment routing (SR) defines destination address prefixes/nodes and adjacenies on the network as segments and allocates segment IDs (SIDs) to these segments. Adjacancy and prefix/node SIDs are non-sequentically arranged in a segment list to form a forwarding path.;false
43;SNMP packets are transmitted by UDP.;true
44;In the DHCPv6 stateless autoconfiguration solution, hosts do not need to send any DHCPv6 packets.;false
45;For DHCP, the priority of an interface address pool is higher than that of a global address pool.;true
46;When the lost accesses web service of the server, the value of the Protocol field at the network layer is 6.;true
47;Before forwarding IPv6 packets, routers do not need to re-encapsulate the data link layer.;false
48;In the VRP system, you cannot delete files by running the delete or unreserved vrpcfg.zip command. You must clear files in the recycle bin.;false
49;DHCP Request packets must be sent in broadcast mode.;false
50;::1/128 is an IPv6 loopback address.;true
51;UDP does not guarantee data transmission reliability and does not provide packet sorting and traffic control functions. It is suitable for the traffic that has low requirements for data transmission for data transmission reliability, but high requirement for the transmission speed and delay.;true
52;The length of an IPv6 address prefix can be represented by a mask.;true
53;For an STP-enabled switch, a port in any state can transition to Disabled state.;true
54;When configuring a static route on a broadcast interface, you must specify the next-hop IP address.;false
